loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.4349786758422853,0.8797205686569214,0.00016,0.47619047619047616,5,,,,,,,,,
1.7957731246948243,0.8429877161979675,0.0001900968867902419,0.9523809523809523,10,,,,,,,,,
1.1421435356140137,0.8623536825180054,0.00015320320765153367,1.380952380952381,15,,,,,,,,,
0.6712363243103028,0.6434987187385559,0.0001,1.8571428571428572,20,,,,,,,,,
0.503765869140625,0.4068910479545593,4.6796792348466356e-05,2.2857142857142856,25,,,,,,,,,
,,,2.2857142857142856,25,0.4845750629901886,2.6197,3.436,1.145,,,,,
0.47786173820495603,0.32476484775543213,9.903113209758096e-06,2.761904761904762,30,,,,,,,,,
,,,3.0,33,0.4670974910259247,2.0327,4.428,1.476,,,,,
,,,3.0,33,,,,,131.5754,1.892,0.251,774272559808512.0,1.1082252444642964
